"Période : 1er trimestre 2015 soit du 
01/01/2015 00:00 au 31/03/2015 23:59.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Région","Dpt","FINNES","Raison sociale","Code postal","Libelle routage","Logiciel 2013-2014","Editeur","RPU transmis
(OUI/NON)","Nombre de RPU transmis 1er trimestre 2015","Logiciel 2015","Version (en fonctionnement durant la période retenue) si changement de version le noter","Commentaire","Fréquence de remontées des données (en minutes)","Date de naissance",,"Diagnostic",,"Mode de sortie",,"Nombre de jours manquants","Commentaire","RPU Code postal","RPU Commune","RPU Sexe","RPU Date entrée","RPU Mode entrée","RPU Provenance","RPU Mode de transport","RPU Mode de prise en charge","RPU Motif de recours","RPU CCMU","RPU Date de sortie","RPU Destination","RPU Orientation"
,,"FINNES","Raison.sociale","Code.postal","Libelle.routage","Logiciel 2013-2014","editeur","RPU (OUI/NON/partellement)",,,,,,"Exhaustivité","Conformité","Exhaustivité","Conformité","Exhaustivité","Conformité",,,,,"RPU Sexe","RPU Date entrée","RPU Mode entrée","RPU Provenance","RPU Mode de transport","RPU Mode de prise en charge","RPU Motif de recours","RPU CCMU","RPU Date de sortie","RPU Destination","RPU Orientation"
"AQUITAINE","Dordogne",240000190,"PCL FRANCHEVILLE",24004,"PERIGUEUX CEDEX","DOPASOINS","module Urgences (WebSanté)","OUI",2811,"DOPA URGENCES",,,1440,"100,0%","100,0%","62,9%","62,9%","82,6%","82,6%",0,,,,,,,,,,,,,,
"AQUITAINE","Dordogne",240000372,"CH BERGERAC",24108,"BERGERAC CEDEX","CROSSWAY","(McKesson)","OUI",2134,"CROSSWAY",,"Teminal Urgences sera le futur outil",1440,"100,0%","100,0%","0,0%","0,0%","1,5%","1,5%",63,,,,,,,,,,,,,,
"AQUITAINE","Dordogne",240000489,"CH PERIGUEUX",24019,"PERIGUEUX CEDEX","DXCARE","(Medasys)","OUI",6828,"DXUrgences",,,1440,"100,0%","100,0%","52,6%","52,6%","99,8%","99,8%",0,,,,,,,,,,,,,,
"AQUITAINE","Dordogne",240000687,"CH SARLAT",24206,"SARLAT LA CANEDA CEDEX","SIDSU","RESURA","OUI",2931,"SIDSU","2.62","DxUrgences sera le nouvel outil",1440,"100,0%","100,0%","93,8%","93,8%","99,5%","99,5%",0,,,,,,,,,,,,,,
"AQUITAINE","Gironde",330000555,"CH ARCACHON",33164,"LA TESTE CEDEX","SIDSU","RESURA","OUI",6686,"SIDSU","2.62","Teminal Urgences ou Urqual sera l'outil suivant",1440,"100,0%","100,0%","86,5%","86,5%","99,9%","99,9%",0,,,,,,,,,,,,,,
"AQUITAINE","Gironde",330000571,"CH HAUTE GIRONDE",33394,"BLAYE CEDEX","CROSSWAY","(McKesson)","NON",,"CROSSWAY",,"Terminal Urgences sera le nouvel outil",,,,,,,,,,,,,,,,,,,,,,
"AQUITAINE","Gironde",330000589,"CH SUD GIRONDE LANGON",33212,"LANGON CEDEX","SILLAGE","SIB","OUI",5330,"SILLAGE URGENCES",,,1440,"100,0%","100,0%","76,5%","76,5%","98,3%","98,3%",0,,,,,,,,,,,,,,
"AQUITAINE","Gironde",330000597,"CH SUD GIRONDE LA REOLE",33192,"LA REOLE CEDEX","SILLAGE","SIB","OUI",1120,"SILLAGE URGENCES",,,1440,"100,0%","100,0%","87,1%","87,1%","99,4%","99,4%",0,,,,,,,,,,,,,,
