"Période : 1er trimestre 2015 soit du 
01/01/2015 00:00 au 31/03/2015 23:59.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Région","Dpt","FINNES","Raison sociale","Code postal","Libelle routage","Logiciel 2013-2014","Editeur","RPU transmis
(OUI/NON)","Nombre de RPU transmis 1er trimestre 2015","Logiciel 2015","Version (en fonctionnement durant la période retenue) si changement de version le noter","Commentaire","Fréquence de remontées des données (en minutes)","Date de naissance",,"Diagnostic",,"Mode de sortie",,"Nombre de jours manquants","Commentaire","RPU Code postal","RPU Commune","RPU Sexe","RPU Date entrée","RPU Mode entrée","RPU Provenance","RPU Mode de transport","RPU Mode de prise en charge","RPU Motif de recours","RPU CCMU","RPU Date de sortie","RPU Destination","RPU Orientation"
,,"FINNES","Raison.sociale","Code.postal","Libelle.routage","Logiciel 2013-2014","editeur","RPU (OUI/NON/partellement)",,,,,,"Exhaustivité","Conformité","Exhaustivité","Conformité","Exhaustivité","Conformité",,,"RPU Code postal","RPU Commune","RPU Sexe","RPU Date entrée","RPU Mode entrée","RPU Provenance","RPU Mode de transport","RPU Mode de prise en charge","RPU Motif de recours","RPU CCMU","RPU Date de sortie","RPU Destination","RPU Orientation"
"RHONE ALPES","Ain",10000024,"CH FLEYRIAT",1012,"BOURG EN BRESSE CEDEX","URQUAL","Mc Kesson","OUI",8469,"URQUAL",,,"1 fois par jour",100%,100%,66%,">95%",94%,,1,,,,,,,,,,,,,,
"RHONE ALPES","Ain",10000032,"CH DOCTEUR RECAMIER BELLEY",1300,"BELLEY","CRISTALNET-DMU",,"OUI",3749,"CRISTALNET-DMU",,,"1 fois par jour",100%,100%,95%,">95%",100%,,0,,,,,,,,,,,,,,
"RHONE ALPES","Ain",10005239,"CH DU HAUT BUGEY SITE GEOVREISSET",1108,"OYONNAX CEDEX","EXAGONE","Société ENOVACOM","OUI",5515,"EXAGONE",,,"1 fois par jour",100%,100%,4%,">95%",5%,,0,,,,,,,,,,,,,,
"RHONE ALPES","Ain",10780195,"CLINIQUE CONVERT",1000,"BOURG EN BRESSE","RESURGENCE",,"OUI",4845,"RESURGENCE",,,"1 fois par jour",100%,100%,99%,">95%",0%,,0,,,,,,,,,,,,,,
"RHONE ALPES","Ain",10780203,"CLINIQUE MUTUALISTE AMBERIEU EN BUGEY",1506,"AMBERIEU EN BUGEY CEDEX","CRISTALNET-DMU",,"OUI",5025,"CRISTALNET-DMU",,,"1 fois par jour",100%,100%,94%,">95%",100%,,0,,,,,,,,,,,,,,
"RHONE ALPES","Ardèche",70000013,"CH DES VALS D'ARDECHE",7007,"PRIVAS CEDEX","URQUAL","Mc Kesson","OUI",3392,"URQUAL",,,"1 fois par jour",100%,100%,1%,">95%",0%,,0,,,,,,,,,,,,,,
"RHONE ALPES","Ardèche",70000179,"CH D'ANNONAY",7103,"ANNONAY CEDEX",,,"OUI",7335,,,,"1 fois par jour",100%,100%,80%,">95%",100%,,0,,,,,,,,,,,,,,
"RHONE ALPES","Ardèche",70000609,"CH D'ARDECHE MERIDIONALE",7205,"AUBENAS CEDEX","EXAGONE","Société ENOVACOM","OUI",5948,"EXAGONE",,,"1 fois par jour",100%,100%,0%,">95%",100%,,0,,,,,,,,,,,,,,
"RHONE ALPES","Ardèche",70780424,"CLINIQUE PASTEUR",7500,"GUILHERAND GRANGES","RESURGENCE",,"OUI",3931,"RESURGENCE",,,"1 fois par jour",100%,100%,88%,">95%",0%,,0,,,,,,,,,,,,,,
